Anarchism	אנרכיזם
...Baby One More Time	...Baby One More Time
Bulgaria	בולגריה
Bryozoa	חיטחבים
Biennial plant	בוטניקה - מונחים#צורות חיים של צמחים
Beavis and Butt-Head	ביוויס ובאטהד
Brassicales	צלפאים
Bulletin board system	BBS
Blindness	עיוורון
Symphony No. 9	הסימפוניה התשיעית של בטהובן
Bomber	מפציץ
Cue sports	ביליארד
Bursa	בורסה
The Bahamas	איי בהאמה
Baker Island	בייקר
Bangladesh	בנגלדש
Barbados	ברבדוס
Bassas da India	באסאס דה אינדיה
Belarus	בלארוס
Belize	בליז
Benin	בנין
Bermuda	ברמודה
Bolivia	בוליביה
Bosnia and Herzegovina	בוסניה והרצגובינה
Botswana	בוטסואנה
Brunei	ברוניי
British Virgin Islands	איי הבתולה הבריטיים
Burkina Faso	בורקינה פאסו
Government of Belarus	ממשלת בלארוס
Demographics of Bosnia and Herzegovina	דמוגרפיה של בוסניה והרצגובינה
Politics of Bosnia and Herzegovina	פוליטיקה של בוסניה והרצגובינה
Geography of Brazil	גאוגרפיה של ברזיל
Politics of Brazil	פוליטיקה של ברזיל
Economy of Brazil	כלכלת ברזיל
Brazilian Armed Forces	הכוחות המזוינים של ברזיל
Bulgarian Armed Forces	צבא בולגריה
Bosphorus	בוספורוס
Brussels	בריסל
BE	Be
Bell	בל
Nokia Bell Labs	מעבדות נוקיה בל
Bjarne Stroustrup	ביארן סטרוסטרופ
Brain	מוח
Byzantium	ביזנטיון
Berlin Wall	חומת ברלין
Battle of Adrianople	קרב אדריאנופול
Bhangra	באנגרה
Beastie Boys	ביסטי בויז
British Isles	האיים הבריטיים
Basque language	בסקית
Björn Ulvaeus	ביורן אולבאוס
Benny Andersson	בני אנדרסון
Bluetooth	בלוטות'
Boney M.	בוני אם
Britain	בריטניה
Blade Runner	בלייד ראנר
Bill Gates	ביל גייטס
Bourbon	בורבון
Boron	בור
Bromine	ברום
Barium	בריום
Berkelium	ברקליום
Bauxite	בוקסיט
Bavaria	בוואריה
Brandenburg	ברנדנבורג
Bundestag	בונדסטאג
BMW	BMW
Bisexual	דו-מיני
Bornholm	בורנהולם
Book	ספר
Bille August	בילה אוגוסט
Bitola	ביטולה
Battle of Bosworth Field	קרב בוסוורת'
Brassicaceae	מצליבים
Boogie Down Productions	Boogie Down Productions
Binary-coded decimal	עשרוני בקידוד בינארי
Binary	בינארי
Bauhaus	באוהאוס
Beowulf	ביאוולף
Blazing Saddles	אוכפים לוהטים
Brigitte Bardot	בריז'יט בארדו
Banjo	בנג'ו
Baseball	בייסבול
Baseball positions	בייסבול - עמדות
Major League Baseball Most Valuable Player Award	MVP של ה-MLB
Bernard Montgomery	ברנרד לו מונטגומרי
Benjamin Disraeli	בנג'מין ד'יזראלי
Binomial distribution	התפלגות בינומית
Biostatistics	ביומטריה
Bass guitar	גיטרה בס
Basketball	כדורסל
Ball	כדור משחק
Binary relation	יחס
Braille	כתב ברייל
Bastille Day	יום הבסטיליה
Blowfish	Blowfish
Bijection	פונקציה חד-חד-ערכית ועל
Blue Velvet	קטיפה כחולה
Binary operation	פעולה בינארית
Bagpipes	חמת חלילים
Biochemistry	ביוכימיה
Badminton	בדמינטון
Baroque	בארוק
Boolean algebra	אלגברה בוליאנית
Bill Joy	ביל ג'וי
Bandwidth	רוחב סרט
Buckingham Palace	ארמון בקינגהאם
British Airways	בריטיש איירווייז
Bicycle	אופניים
Biopolymer	ביופולימרים
Book of Mormon	ספר מורמון
Baptists	בפטיזם
Blackjack	בלאק ג'ק
Bicarbonate	ביקרבונט
New York Buffalo	באפלו
Benjamin Franklin	בנג'מין פרנקלין
Banach space	מרחב בנך
Bram Stoker	ברם סטוקר
Contract bridge	ברידג'
Boat	סירה
Blood	דם
Benoit Mandelbrot	בנואה מנדלברוט
Benedict of Nursia	בנדיקטוס מנורסיה
Battle of Pharsalus	קרב פרסלוס
Bigfoot	ביגפוט
Bing Crosby	בינג קרוסבי
Base	בסיס
Basel Convention	אמנת בזל
BASIC	BASIC
List of Byzantine emperors	קיסרי האימפריה הביזנטית
Butterfly effect	אפקט הפרפר
Borland	בורלנד
Buckminster Fuller	באקמינסטר פולר
Black	שחור
Bletchley Park	בלצ'לי פארק
Bede	בדה ונרביליס
Battle of Blenheim	קרב בלנהיים
Battle of Ramillies	קרב ראמיאי
Brian Kernighan	בריאן קרניגהאן
Battleship	אוניית מערכה
Bifröst	ביפרוסט
Battlecruiser	סיירת מערכה
Bob Hawke	בוב הוק
Baldr	בלדר
Borsuk–Ulam theorem	משפט בורסוק-אולם
Blaise Pascal	בלז פסקל
Bronski Beat	ברונסקי ביט
BPP	BPP
BQP	BQP
Brainfuck	Brainfuck
Bishop	בישוף
Bordeaux	בורדו
Puzzle Bobble	פאזל בובל
Bone	עצם
Brouwer fixed-point theorem	משפט נקודת השבת של בראואר
Benzoic acid	חומצה בנזואית
Boltzmann distribution	התפלגות בולצמן
Bouldering	טיפוס בולדרינג
Boiling point	נקודת רתיחה
Big Bang	המפץ הגדול
Bantu languages	שפות בנטו
Branco River	ריו ברנקו
Bus	אוטובוס
Bali	באלי
Bulgarian language	בולגרית
Brown University	אוניברסיטת בראון
Bertrand Russell	ברטראנד ראסל
Boeing 767	בואינג 767
Utility knife	סכין יפנית
Bronze	ארד
Benelux	בנלוקס
Babe Ruth	בייב רות'
Barge	ארבה
British English	אנגלית בריטית
Battle	קרב
Botany	בוטניקה
Bacteriophage	בקטריופאג'
Common buzzard	עקב חורף
Bohrium	בוהריום
Barnard's Star	כוכב ברנרד
Bayer designation	ציון באייר
Boötes	רועה דובים
Bassoon	בסון
Baltic languages	שפות בלטיות
Bioinformatics	ביואינפורמטיקה
Brian De Palma	בריאן דה פלמה
North American B-25 Mitchell	B-25 מיטשל
Bobby Charlton	בובי צ'רלטון
Barry Lyndon	בארי לינדון
Cell	תא
Barter	סחר חליפין
Berthe Morisot	ברת מוריזו
Order of Saint Benedict	בנדיקטינים
Bayezid I	באיזיט הראשון
Bayezid II	באיזיט השני
Boxing	איגרוף
Bollywood	בוליווד
Bowls	כדורת דשא
Bahá'í Faith	הדת הבהאית
Burgundians	בורגונדים
Dots and Boxes	משחק קווים וריבועים
Big Brother	האח הגדול
Binary search algorithm	חיפוש בינארי
Belle and Sebastian	בל וסבסטיאן
Broadcast domain	מתחם שידור
Beechcraft	ביצ'קראפט
Battle of Peleliu	הקרב על פלליו
Battle of Stalingrad	קרב סטלינגרד
Bodhidharma	בודהידהרמה
Base pair	זוג בסיסים
Baltimore Ravens	בולטימור רייבנס
British National Party	המפלגה הלאומית הבריטית
Baptism	טבילה לנצרות
Bethlehem	בית לחם
Benjamin	בנימין
Black Sabbath	בלאק סבאת'
Buffalo Bills	באפלו בילס
Books of Chronicles	דברי הימים
Binary search tree	עץ חיפוש
Binary tree	עץ בינארי
Blackadder	הפתן השחור
Backgammon	שש בש
Book of Joshua	ספר יהושע
Book of Ezra	ספר עזרא
Book of Daniel	ספר דניאל
Batman	באטמן
Boston Red Sox	בוסטון רד סוקס
Baltimore Orioles	בולטימור אוריולס
Bohemia	בוהמיה
Battle of Waterloo	קרב ווטרלו
Boomerang	בומרנג
Bodybuilding	פיתוח גוף
Biological warfare	לוחמה ביולוגית
Book of Nehemiah	ספר נחמיה
Book of Jeremiah	ספר ירמיהו
Book of Isaiah	ספר ישעיהו
Bilinear map	אופרטור בילינארי
Beagle	ביגל
Buffer overflow	גלישת חוצץ
Bug	בוג
Barry Bonds	בארי בונדס
Book of Numbers	במדבר
Book of Judges	ספר שופטים
Books of Samuel	ספר שמואל
Book of Revelation	חזון יוחנן
Books of Kings	ספר מלכים
Book of Ruth	מגילת רות
Book of Esther	מגילת אסתר
Book of Job	ספר איוב
Book of Proverbs	משלי
Book of Lamentations	מגילת איכה
Book of Ezekiel	ספר יחזקאל
Big Brother	האח הגדול
Bristol City F.C.	בריסטול סיטי
Bioterrorism	טרור ביולוגי
Northrop Grumman B-2 Spirit	B-2 ספיריט
Beaver	בונה
Bear	דוביים
Bald eagle	עיטם לבן ראש
Brown bear	דוב חום
Biathlon	ביאתלון
Bubble and squeak	באבל אנד סקוויק
Buddy Holly	באדי הולי
Brewing	בישול
Breast reconstruction	שחזור שד
BASE jumping	קפיצת בסיס
Beauty	יופי
Brownian motion	תנועה בראונית
Barcelona	ברצלונה
Bandy	בנדי
Man Booker Prize	פרס מאן בוקר
Book of Joel	יואל
Book of Jonah	ספר יונה
Book of Zephaniah	צפניה
Backward compatibility	תאימות לאחור
Bacterial conjugation	קוניוגציה
Blue crane	עגור חן אפריקאי
Billy Bob Thornton	בילי בוב תורנטון
BIOS	BIOS
Bose–Einstein condensate	עיבוי בוז-איינשטיין
B	B
Beer–Lambert law	חוק בר-למברט
The Beach Boys	The Beach Boys
BC	Bc
Beatrix Potter	ביאטריקס פוטר
Liberal Party	המפלגה הליברלית
Bank of England	בנק אנגליה
Bakelite	בקליט
Breast	שד
Baghdad	בגדאד
British thermal unit	BTU
Bugatti	בוגאטי
Band	בנד
Black Death	המוות השחור
Biotechnology	ביוטכנולוגיה
Battle of Poitiers	קרב פואטייה
Bongo	בונגו
Banshee	באנשי
Boudica	בודיקיאה
Borneo	בורנאו
Ballpoint pen	עט כדורי
Brick	לבנה
Béla Bartók	בלה בארטוק
Bill Haley	ביל היילי
Northern bobwhite	שליו וירג'יניה
Bipolar disorder	הפרעה דו-קוטבית
Blitz	בליץ
Burt Lancaster	ברט לנקסטר
Bra–ket notation	סימון דיראק
Blue	כחול
Blind Willie McTell	וילי מקטל העיוור
BDSM	BDSM
Bash	באש
Bikini	ביקיני
Babur	באבור
Bernard of Clairvaux	ברנאר מקלרבו
Bishkek	בישקק
Braveheart	לב אמיץ
Battle of Jutland	קרב יוטלנד
Baku	באקו
Balalaika	בללייקה
Bank of China Tower	מגדל הבנק של סין
Blind Lemon Jefferson	בליינד למון ג'פרסון
Blackbeard	שחור הזקן
Bugzilla	באגזילה
Bangor	בנגור
Ballad	בלדה
Blue Öyster Cult	בלו אויסטר קאלט
Bacterial vaginosis	וגינוזיס חיידקי
Bison	ביזון
Baryon	באריון
Block cipher	צופן בלוקים
Björn Borg	ביורן בורג
Battle of the Nile	קרב הנילוס
Barnabas	ברנבא
Beta-lactamase	בטא לקטמאז
Burhanuddin Rabbani	בורהנודין רבאני
Boeing 747	בואינג 747
Battle of Agincourt	קרב אז'נקור
Bronze Age	תקופת הברונזה
Broadway	ברודוויי
Brian Boitano	בריאן בויטנו
Bombardier Inc.	בומברדייה
Bogie	חוגון
BT Group	בריטיש טלקום
Balmoral Castle	טירת בלמורל
Breton language	ברטונית
Billy Crystal	בילי קריסטל
Black hole	חור שחור
Beta decay	קרינת בטא
Blitzkrieg	מלחמת בזק
Bee	דבורים
Basques	בסקים
Bookkeeping	הנהלת חשבונות
Bézier curve	עקום בזייה
Banach algebra	אלגברת בנך
Boris Pasternak	בוריס פסטרנק
Binomial coefficient	מקדם בינומי
Bruce Campbell	ברוס קמפבל
Boy band	להקת בנים
B-tree	עץ B
British Museum	המוזיאון הבריטי
Bloody Sunday	יום ראשון העקוב מדם
Binomial theorem	הבינום של ניוטון
Balboa	בלבואה
Boxing Day	יום הקופסאות
Pakistan Balochistan	בלוצ'יסטן
Boston Corbett	בוסטון קורבט
Berber languages	שפות ברבריות
Bankruptcy	דיני חדלות פרעון
Bessel function	פונקציית בסל
Boolean satisfiability problem	בעיית הספיקות
British Empire	האימפריה הבריטית
Batman	באטמן
Batman Returns	באטמן חוזר
Batman & Robin	באטמן ורובין
Batman Forever	באטמן לנצח
Batman: Year One	באטמן: שנה ראשונה
Bi-directional text	אלגוריתם דו-כיווניות של יוניקוד
Bernoulli's inequality	אי-שוויון ברנולי
International Bureau of Weights and Measures	הלשכה הבינלאומית למידות ולמשקלות
Bayonne	באיון
Black people	האדם השחור
Plague	דבר
Baudot code	קוד בודו
Bacillus	Bacillus
Brasília	ברזיליה
Bestiary	ספר חיות
Ballad of the Green Berets	הבלדה על הכומתות הירוקות
Borzoi	בורזוי
Brit milah	ברית מילה
Business ethics	אתיקה בעסקים
Benzodiazepine	בנזודיאזפינים
Body mass index	מדד מסת גוף
Behistun Inscription	כתובת ביסותון
Barry Goldwater	בארי גולדווטר
Banda	באנדה
Babylon 5	בבילון 5
BeOS	BeOS
Biome	ביומה
Behavior	התנהגות
Battle of Marathon	קרב מרתון
Biosphere	אקולוגיה#הביוספרה
Biological membrane	ממברנה ביולוגית
Balfour Declaration of 1926	הצהרת בלפור
Balfour Declaration	הצהרת בלפור
Black Hand	היד השחורה
Board of directors	דירקטוריון
Balkan Wars	מלחמות הבלקן
Biomedical engineering	הנדסה ביו-רפואית
Balkans	חבל הבלקן
Bohr model	מודל האטום של בוהר
Battle of Gettysburg	קרב גטיסברג
Budweiser	באדוויזר
Bermuda Triangle	משולש ברמודה
California Berkeley	ברקלי
Bengal	בנגל
Bucket argument	טיעון הדלי
B. Skinner	פרדריק סקינר
Bill	ביל
Bob Knight	בוב נייט
Black metal	בלאק מטאל
Blizzard Entertainment	Blizzard Entertainment
Robert Bellarmine	רוברטו בלרמינו
Bildungsroman	רומן חניכה
Bachelor	רווק
British Army	הצבא הבריטי
Bayesian probability	הסתברות בייסיאנית
Bamberg	במברג
House of Bonaparte	בונפרטה
Beta sheet	משטח בטא
Beryl	בריל
Basel	בזל
Black Russian	רוסי שחור
Ben Nevis	בן נוויס
Black and Tans	בלאק אנד טאנס
Bunsen burner	מבער בונזן
Blue whale	לווייתן כחול
Bolsheviks	בולשביזם
Basic English	אנגלית בסיסית
Brass instrument	כלי נשיפה ממתכת
Blood libel	עלילת דם
Naive set theory	תורת הקבוצות הנאיבית
Blue Angels	בלו אנג'לס
Rockwell B-1 Lancer	B-1 לנסר
Bokken	בוקן
BSA	BSA
Birmingham Small Arms Company	BSA
Bernoulli number	מספרי ברנולי
Bubble Bobble	באבל בובל
Blackwood convention	בלקווד
Bronze Star Medal	כוכב הארד
Ballarat	בלאראט
Bohdan Khmelnytsky	בוגדן חמלניצקי
Battle of Okinawa	קרב אוקינאווה
Brezhnev Doctrine	דוקטרינת ברז'נייב
Bain-marie	אמבט מרים
Barbagia	ברבג'יה
Boeing B-17 Flying Fortress	B-17 מבצר מעופף
Battle of Actium	קרב אקטיום
Zebrafish	דג זברה
Battle of Adwa	קרב עדווה
Bloody Sunday	יום ראשון העקוב מדם
Bo Diddley	בו דידלי
Bela Lugosi	בלה לוגוסי
Berry paradox	הפרדוקס של ברי
Belfast	בלפסט
Biotite	ביוטיט
Brigham Young	בריגהם יאנג
Bill Bryson	ביל ברייסון
Bentley	בנטלי
Chordate	מיתרניים
Charlize Theron	שרליז ת'רון
Chess	שחמט
Charlie Chaplin	צ'ארלי צ'פלין
The World Factbook	ספר העובדות העולמי
Country	ארץ
Copenhagen	קופנהגן
Combinatorics	קומבינטוריקה
Calculus	חשבון אינפיניטסימלי
Communication	תקשורת
Classics	לימודים קלאסיים
Chemistry	כימיה
Cytoplasm	ציטופלזמה
Central Europe	מרכז אירופה
Christianity	נצרות
Casino	קזינו
Central processing unit	מעבד
Carnivora	טורפים
Colombia	קולומביה
Citizen Kane	האזרח קיין
Code	קוד
Cheirogaleidae	למורים צמריים
Callitrichidae	מרמוסטיים
Cebidae	צבוסיים
Chondrichthyes	דגי סחוס
Carl Linnaeus	קארולוס ליניאוס
Coast	קו חוף
Catatonia	קטטוניה
